CLUSTER,number_of_panels_total
0,2012472
0,5462549
0,6377373
0,7720530
0,8138951
0,9054358
0,9189162
0,10771199
0,11387665
0,13001474
0,21582607
0,29953011
0,43573776
0,47690577
0,65662303
0,69012222
0,74914378
0,82459475
1,463123814
1,481747525
1,654783517
2,3848056
2,23093899
2,32218920
2,36012747
2,36827430
2,44105531
2,47392985
2,60560124
2,61617355
2,69425443
2,77644088
2,79313415
2,80308875
2,84085928
2,101760834
2,107938362
3,93316636
3,117024307
3,124233257
3,133691386
3,140137704
3,147876285
3,158795495
3,164251624
3,171901596
4,19873246
4,29605361
4,43616656
4,147450436
